Desert,Mountain,Water,Land,Forest,Snow,Average_Temperature,Is_Raining,Had_A_Good_Sleep,Winner,Winner_Time,Second,Second_Time,Third,Third_Time
7891,8220,907,9874,9053,3395,32,Yes,No,horse,270,snake,287,dog,296
8636,5660,3316,6832,2575,4821,12,Yes,No,horse,244,monkey,271,goat,275
5441,1072,3074,9192,1491,9400,37,Yes,No,rabbit,144,ox,167,pig,192
6147,4836,9968,3109,1916,7867,29,Yes,No,rat,261,dragon,268,tiger,277
8329,4560,4906,852,7267,6978,10,Yes,No,monkey,257,dragon,284,goat,285
4347,5504,48,3295,1473,1442,32,Yes,No,horse,109,rat,119,goat,123
1489,9451,1451,116,8086,4984,23,Yes,Yes,goat,158,monkey,170,snake,187
2104,7561,6950,5504,3873,4403,21,Yes,No,rat,234,dragon,235,goat,241
3380,8579,993,5668,2265,2050,19,Yes,No,horse,148,goat,160,rat,170
9163,8277,7484,5675,7812,5422,22,Yes,Yes,snake,339,rat,340,tiger,343
6054,3459,4785,1657,6712,6633,26,Yes,Yes,snake,226,tiger,227,dog,227
8417,6650,7223,9938,5799,5234,23,Yes,Yes,rat,329,dog,337,horse,339
105,4950,6789,8233,5805,5493,36,Yes,No,pig,184,rabbit,192,ox,195
2562,8460,8361,7768,825,8930,26,Yes,No,rat,282,dragon,288,goat,290
7859,582,6503,6564,5294,9953,31,Yes,Yes,dog,273,snake,292,rat,298
7930,4887,5736,6434,5705,8851,10,Yes,Yes,monkey,321,horse,327,goat,333
480,5724,9477,4165,4691,2561,30,Yes,Yes,dragon,197,tiger,206,rat,208
4754,8188,6021,5695,6687,5884,40,Yes,Yes,ox,235,rabbit,248,pig,251
3203,1028,6825,7130,3228,9784,31,Yes,No,dog,241,rat,254,snake,255
8136,4348,9477,6156,2963,8182,12,Yes,No,dragon,326,monkey,334,horse,344
897,9728,6347,9613,6038,1775,19,Yes,No,horse,246,rooster,249,goat,257
4437,1387,2348,5471,4717,6605,17,Yes,No,dog,184,snake,193,monkey,200
9243,9501,38,2596,9776,7107,21,Yes,Yes,snake,277,monkey,280,goat,283
587,2220,9372,181,2431,1855,18,Yes,No,dragon,111,tiger,120,rat,128
6528,5189,8690,5263,9828,5726,14,Yes,Yes,monkey,331,dragon,346,goat,354
2753,6042,9210,3564,3724,2269,34,Yes,No,dragon,203,rat,207,tiger,212
5231,4895,5424,5089,907,6227,14,Yes,Yes,horse,229,dragon,230,monkey,233
3655,1893,5661,7845,9135,4351,20,Yes,Yes,snake,248,dog,249,tiger,253
7583,3709,4524,4100,8989,7429,34,Yes,No,snake,274,dog,276,tiger,283
9527,369,5048,6347,6153,3340,37,Yes,No,ox,188,pig,195,rabbit,205
8084,8083,6900,5881,6225,8765,19,Yes,Yes,rat,345,snake,345,dog,346
1195,4877,90,5281,6227,7789,32,Yes,Yes,goat,162,rooster,176,monkey,180
1778,1963,6420,2638,4720,7418,30,Yes,No,monkey,195,tiger,200,dog,201
5715,3451,5426,7992,8102,1358,24,Yes,Yes,snake,243,tiger,246,dog,246
3518,3276,5668,7476,1476,7261,22,Yes,Yes,rat,222,dog,224,horse,232
1295,9193,270,7087,1375,7950,35,Yes,Yes,rabbit,135,ox,142,goat,164
4553,7397,9231,3710,4318,5957,11,Yes,Yes,dragon,272,monkey,286,goat,300
6947,8777,4032,8171,9533,4291,33,Yes,No,snake,311,horse,312,dog,325
149,1736,8108,1959,6273,1534,18,Yes,Yes,tiger,139,dragon,151,pig,156
5880,8895,983,8642,8006,8761,25,Yes,Yes,goat,291,horse,292,snake,307
8729,9126,552,9479,3656,9546,31,Yes,No,horse,289,goat,307,dog,310
2799,643,430,7651,3003,9653,37,Yes,Yes,rabbit,102,ox,119,pig,156
7582,9912,2650,1535,2530,5482,15,Yes,Yes,monkey,229,horse,232,goat,233
608,5454,2576,9763,2276,9589,24,Yes,Yes,goat,205,rooster,210,horse,212
2803,5263,3688,7637,1395,1908,25,Yes,Yes,horse,160,rat,165,snake,182
8451,4365,6389,951,3263,3080,17,Yes,No,rat,201,tiger,204,dog,211
8171,2211,581,5978,5272,5200,14,Yes,Yes,horse,210,ox,225,monkey,225
8509,4148,1873,5985,2221,423,29,Yes,No,rat,166,horse,170,dog,172
2738,9263,5083,9842,2476,219,22,Yes,No,horse,200,rat,209,dragon,228
2285,5836,6319,6394,7218,1948,11,Yes,No,horse,237,dragon,242,rooster,242
3141,3552,6417,7239,8291,2240,27,Yes,No,tiger,236,snake,238,rat,243
1652,1850,5284,2743,967,8730,15,Yes,Yes,monkey,168,goat,174,dragon,180
7751,8932,9029,7315,9600,4986,36,Yes,No,ox,306,pig,310,rabbit,333
9486,2663,2976,5164,1341,181,30,Yes,Yes,rat,153,dog,160,snake,169
9512,1900,9979,2313,5152,6518,14,Yes,No,dragon,298,monkey,302,horse,339
6081,2865,1981,8289,6734,898,19,Yes,No,horse,194,snake,197,dog,197
9122,6670,9151,8371,4344,8012,36,Yes,No,rabbit,297,ox,303,pig,308
6056,9568,4154,1813,9264,1769,35,Yes,No,ox,205,pig,230,tiger,238
5345,5848,6968,2278,8905,9207,18,Yes,Yes,monkey,292,tiger,298,snake,299
882,4874,3348,7888,967,4488,15,Yes,Yes,horse,157,rooster,164,goat,167
4249,211,4616,5558,5153,2738,35,Yes,No,pig,131,ox,139,rabbit,147
4627,4507,8469,5823,1405,3387,32,Yes,No,rat,207,dragon,221,tiger,233
2350,1267,3133,3095,9564,5486,18,Yes,No,snake,183,tiger,185,monkey,185
3328,7018,6514,2193,2877,6172,12,Yes,Yes,dragon,216,monkey,220,goat,227
4883,4294,758,3149,8496,659,30,Yes,Yes,snake,156,tiger,163,horse,166
6873,7733,8853,2750,1084,1115,18,Yes,No,rat,200,dragon,204,tiger,223
5620,8227,3073,8065,5889,2784,23,Yes,No,horse,240,rat,255,snake,256
9237,9204,6606,5528,8888,2173,37,Yes,Yes,ox,263,pig,281,rabbit,304
6875,5052,6723,1246,8098,5253,13,Yes,No,monkey,261,dragon,276,goat,290
8499,3716,2079,8268,2285,9664,39,Yes,Yes,rabbit,183,ox,193,pig,242
9107,1979,6271,777,7049,3842,39,Yes,No,ox,206,pig,206,tiger,214
9368,4593,6937,2965,142,2801,12,Yes,Yes,dragon,213,rat,239,horse,241
6580,9870,7619,9463,2433,158,26,Yes,No,rat,252,horse,268,dragon,277
8372,1643,2423,406,2197,5071,13,Yes,No,monkey,168,dragon,184,dog,184
7169,9205,9486,3400,1323,841,14,Yes,Yes,dragon,224,horse,269,monkey,272
6643,4503,7546,8975,6689,2379,29,Yes,No,rat,278,snake,287,dog,287
9095,6903,968,2948,4525,1396,40,Yes,Yes,ox,149,rabbit,185,snake,190
6980,6737,2921,562,9523,142,15,Yes,Yes,monkey,207,horse,221,dragon,223
4675,4372,2645,4488,1487,9368,31,Yes,No,dog,207,goat,209,monkey,212
4701,6848,8518,6337,2159,9270,28,Yes,Yes,rat,293,dragon,305,monkey,309
1079,1816,8065,3035,6081,2597,38,Yes,Yes,pig,133,tiger,166,ox,170
605,118,3040,8327,9246,8710,38,Yes,Yes,rabbit,154,ox,155,pig,170
3739,4883,7728,6625,2211,9770,20,Yes,No,rat,276,dog,280,monkey,286
1121,7233,7214,8775,1846,9279,38,Yes,Yes,rabbit,203,ox,230,pig,231
211,7737,9735,9156,3920,2732,17,Yes,No,rat,249,dragon,251,rooster,255
144,5440,5071,1734,3111,2438,29,Yes,No,dragon,131,tiger,139,goat,139
6482,5432,2809,2365,2974,6471,18,Yes,Yes,snake,208,dog,208,monkey,209
2469,354,8844,6244,6517,5773,39,Yes,Yes,pig,176,rabbit,198,ox,209
1393,1610,2702,585,1195,6418,34,Yes,No,monkey,105,goat,110,dog,113
8182,985,5898,6633,9784,341,20,Yes,Yes,tiger,234,snake,236,dog,236
7572,4840,4172,4102,4863,4692,10,Yes,Yes,monkey,248,horse,249,dragon,260
5407,6318,91,9757,5658,6714,24,Yes,Yes,horse,230,goat,245,dog,252
9839,6923,8708,8104,3282,7238,27,Yes,Yes,rat,333,dog,347,snake,356
5601,7597,2536,981,4589,1251,30,Yes,Yes,tiger,169,snake,171,rat,172
4604,5903,7177,9454,4876,6423,22,Yes,No,rat,297,horse,302,dog,305
8374,4180,832,5299,3883,9612,31,Yes,No,dog,234,snake,246,horse,252
8469,8618,295,9094,9672,4107,31,Yes,Yes,horse,278,snake,290,dog,301
5377,7073,9678,5455,7133,1155,32,Yes,Yes,tiger,269,rat,270,dragon,278
6241,8286,6607,7094,613,5902,34,Yes,Yes,rat,258,horse,272,dragon,277
6014,226,797,2877,6501,5295,30,Yes,No,dog,152,snake,158,monkey,171
5938,1066,5215,6434,1344,1192,19,Yes,Yes,rat,152,dog,161,snake,173
9041,5155,9353,956,9643,7974,18,Yes,Yes,tiger,317,snake,328,monkey,332
1173,2481,1738,9351,8931,8645,10,Yes,Yes,goat,225,rooster,227,horse,236
8133,4095,7230,8760,8028,3556,38,Yes,No,ox,244,pig,244,rabbit,266
5468,24,559,1285,3629,8409,20,Yes,Yes,dog,136,monkey,147,snake,149
9831,3347,6628,3227,5022,198,34,Yes,Yes,rat,209,tiger,212,snake,219
3274,9881,7656,7082,6937,6374,13,Yes,No,goat,318,monkey,322,horse,323
4210,2866,4369,6595,1765,9669,25,Yes,No,dog,225,rat,238,goat,238
2362,9688,1559,4131,4412,7781,33,Yes,No,goat,194,monkey,215,horse,216
8355,1607,1604,4969,11,3134,27,Yes,Yes,dog,142,rat,145,horse,155
534,582,2638,4899,4672,740,17,Yes,Yes,pig,96,snake,107,rooster,107
9966,1919,1563,2970,3219,1381,29,Yes,Yes,dog,148,snake,156,rat,158
7381,6539,4638,4988,9706,5127,25,Yes,No,snake,287,tiger,295,dog,298
9498,5033,9017,2605,5579,3191,13,Yes,No,dragon,282,monkey,297,horse,318
2741,603,3394,5038,2154,4805,23,Yes,Yes,dog,143,snake,151,rat,152
5761,3873,2415,7588,7230,6308,28,Yes,Yes,dog,247,snake,250,horse,252
2240,3046,2291,7694,286,8021,14,Yes,No,horse,173,rabbit,174,goat,177
7952,3286,3705,4510,9056,4668,37,Yes,No,ox,196,pig,220,rabbit,223
192,2365,3539,7892,2555,1963,24,Yes,Yes,horse,130,rooster,133,pig,133
6337,5376,2515,4750,1759,306,27,Yes,Yes,rat,150,horse,155,snake,164
2338,9442,573,3901,9115,2238,33,Yes,Yes,goat,179,horse,190,snake,197
3374,7694,9272,8217,9552,2552,17,Yes,Yes,tiger,308,rat,314,snake,318
8478,931,7978,7310,604,394,40,Yes,No,pig,155,rat,178,ox,181
6739,5417,6110,1664,2897,6012,19,Yes,No,rat,225,tiger,232,dog,233
3875,74,8501,7161,6938,2134,35,Yes,Yes,pig,156,ox,191,rabbit,200
1103,3226,261,3209,558,1282,39,Yes,No,ox,51,rabbit,56,horse,62
9812,4301,9379,1624,6436,8576,10,Yes,No,monkey,326,dragon,336,goat,368
188,6732,4664,76,6573,8854,40,Yes,Yes,rabbit,180,goat,183,monkey,185
6685,7761,3257,9298,9207,8129,26,Yes,No,horse,331,snake,333,goat,336
7117,3201,3039,2273,6037,9520,24,Yes,No,dog,234,snake,239,monkey,239
7720,7843,8917,2632,922,7159,38,Yes,Yes,rabbit,249,rat,265,pig,265
4273,249,2293,8580,3638,3271,14,Yes,No,horse,165,pig,173,ox,179
1140,6712,5894,5908,8359,5102,10,Yes,Yes,goat,247,rooster,250,monkey,254
6677,730,4649,4231,1562,4015,31,Yes,Yes,dog,165,rat,167,snake,177
8818,6997,245,9736,2444,509,24,Yes,No,horse,184,rat,204,dog,212
3953,4940,6837,2209,7224,4853,18,Yes,No,tiger,227,snake,235,monkey,235
5506,9067,7251,9501,7554,8282,24,Yes,Yes,horse,367,snake,369,rat,370
5178,1321,3816,4924,4760,3918,34,Yes,Yes,dog,179,snake,185,rat,191
6411,6475,2505,5706,9799,9227,31,Yes,Yes,snake,298,goat,301,monkey,303
1089,1067,5562,4864,7168,4509,14,Yes,Yes,monkey,193,pig,194,rooster,195
7929,974,5464,7186,3063,9043,10,Yes,Yes,horse,286,monkey,287,goat,302
5733,5946,6700,6494,8714,5938,11,Yes,No,monkey,315,horse,324,goat,326
1134,433,5860,149,6050,4285,33,Yes,Yes,tiger,130,monkey,138,snake,144
7037,3590,1916,394,8481,119,30,Yes,Yes,tiger,148,snake,152,dog,163
8009,4339,2245,4223,3418,2533,34,Yes,No,rat,188,dog,188,snake,189
5078,5874,6855,53,7846,6493,18,Yes,Yes,tiger,240,monkey,244,snake,252
4284,7326,6914,2523,4131,3721,29,Yes,Yes,dragon,221,rat,222,tiger,226
6115,1672,855,1470,1323,6655,35,Yes,No,rabbit,103,ox,113,dog,130
9770,5312,2809,9993,4597,7094,21,Yes,Yes,dog,292,horse,294,snake,303
7677,1472,2998,3459,2341,2348,32,Yes,No,dog,149,rat,154,snake,158
3965,8275,1390,6499,2191,9038,38,Yes,Yes,rabbit,169,ox,176,goat,218
2038,477,1176,6249,480,3916,26,Yes,No,rabbit,99,horse,102,dog,103
2306,4834,7674,317,8300,8412,26,Yes,No,monkey,235,tiger,241,goat,252
6950,7431,4633,7741,5338,4987,29,Yes,No,rat,284,horse,284,snake,287
2013,1258,5189,7267,161,476,18,Yes,No,rat,114,pig,116,horse,129
3335,9826,5934,840,7462,7798,11,Yes,No,monkey,255,goat,259,dragon,276
3168,3642,1170,1828,1244,7127,23,Yes,Yes,goat,135,monkey,136,dog,141
3593,2125,7345,2595,7692,2647,22,Yes,No,tiger,187,snake,203,rat,210
9896,6013,8867,1739,6987,3471,39,Yes,No,pig,262,ox,267,tiger,277
1672,1500,1749,7141,1486,6124,39,Yes,Yes,rabbit,91,ox,104,pig,121
3747,2000,6212,2344,445,9788,15,Yes,Yes,monkey,199,dragon,207,goat,212
1368,1333,2988,9986,7022,6589,33,Yes,Yes,rooster,213,horse,216,dog,219
8254,198,4205,2114,7185,7196,23,Yes,Yes,dog,213,snake,221,tiger,228
8322,8878,1037,8488,4442,2665,33,Yes,No,horse,230,rat,252,snake,254
5511,5512,8329,3399,416,4674,31,Yes,Yes,rat,205,dragon,212,tiger,230
344,2448,1123,6125,442,8726,26,Yes,No,rabbit,121,goat,127,rooster,133
2043,7439,7680,5510,7753,6307,10,Yes,Yes,goat,284,monkey,285,rooster,292
5558,4206,5824,457,6505,5395,14,Yes,No,monkey,218,dragon,233,goat,242
4710,2117,7125,3680,6446,1855,14,Yes,No,dragon,216,monkey,220,pig,222
2334,4473,8381,3582,6852,2537,29,Yes,No,tiger,208,dragon,220,rat,221
258,7127,9928,928,875,3609,25,Yes,No,dragon,145,rat,170,tiger,180
1305,9063,9426,1677,3427,4986,19,Yes,No,dragon,210,rat,230,tiger,232
4844,899,2279,6486,9343,8134,13,Yes,No,monkey,246,goat,252,horse,257
5763,2078,4656,9646,5044,2480,30,Yes,Yes,dog,222,rat,226,horse,227
7651,2164,7015,8699,9584,4210,15,Yes,Yes,horse,325,pig,327,monkey,331
478,575,5825,3540,5773,8635,23,Yes,Yes,monkey,189,dog,196,rooster,197
1904,9142,8989,1468,1370,4387,23,Yes,Yes,dragon,184,rat,202,tiger,216
6890,6087,6175,2767,5597,6047,27,Yes,No,tiger,264,snake,264,rat,265
3874,7468,7524,3469,261,7205,35,Yes,Yes,rabbit,200,pig,220,ox,223
2455,5367,5754,9236,9950,2919,30,Yes,Yes,snake,271,horse,271,rooster,274
4326,1830,5238,5834,4605,6903,14,Yes,No,monkey,237,horse,244,goat,246
8074,3450,7018,3456,449,1591,11,Yes,No,dragon,191,rat,211,horse,217
6295,5323,164,3924,1659,1767,11,Yes,No,horse,134,goat,158,monkey,160
2618,4246,7308,7811,9753,6562,34,Yes,Yes,snake,297,tiger,298,dog,303
2896,8048,4815,2375,2503,3863,11,Yes,No,dragon,184,goat,189,monkey,191
5404,5227,7827,3643,4716,2485,20,Yes,No,rat,223,tiger,225,dragon,232
709,436,1995,2323,6270,9398,40,Yes,Yes,rabbit,110,ox,124,pig,142
8770,4186,5701,1894,7723,1008,15,Yes,No,monkey,244,dragon,246,horse,259
9150,475,624,7674,3729,5086,16,Yes,No,dog,182,snake,201,horse,204
9482,3984,5422,1532,4179,5715,30,Yes,Yes,dog,233,snake,238,rat,239
8234,1575,9643,6547,1031,2748,28,Yes,Yes,rat,214,dog,234,tiger,244
7203,1050,8523,5853,3000,2205,31,Yes,No,rat,206,dog,218,tiger,221
6887,5816,7778,7456,7192,2400,26,Yes,Yes,rat,283,tiger,290,snake,291
6770,3042,7283,6369,2683,1772,27,Yes,No,rat,204,dog,220,tiger,225
2310,7756,1454,7925,6840,7954,17,Yes,No,goat,229,horse,241,rooster,247
9309,4978,8629,3170,260,4443,32,Yes,Yes,rat,225,dragon,243,dog,248
9353,845,5428,629,9633,8357,38,Yes,Yes,ox,229,rabbit,237,pig,245
9780,8579,4346,3722,7133,46,36,Yes,Yes,ox,210,pig,234,snake,250
4092,8952,2244,6879,7493,5652,30,Yes,Yes,goat,253,horse,255,snake,265
1939,3065,9625,9592,9738,8537,20,Yes,No,dog,335,snake,336,rooster,336
4559,8993,8916,9765,5636,1995,13,Yes,Yes,horse,307,dragon,311,goat,334
2129,4279,7827,9359,9039,913,34,Yes,No,pig,249,tiger,256,snake,259
9950,6057,8308,7640,5267,8191,37,Yes,Yes,ox,295,rabbit,296,pig,310
2442,6684,5047,5648,1927,2775,16,Yes,No,rat,182,horse,187,dragon,190
616,9589,5812,4876,6908,8715,29,Yes,Yes,goat,251,monkey,268,rooster,269
8171,7645,6575,2275,545,6439,31,Yes,Yes,rat,237,dragon,248,dog,258
5015,986,7183,9696,3198,6336,11,Yes,No,horse,267,pig,269,monkey,284
8563,8424,9213,9937,3106,4285,14,Yes,Yes,horse,344,dragon,351,monkey,377
6208,6830,458,2367,9325,445,18,Yes,Yes,snake,178,tiger,185,horse,190
1600,6324,5655,4303,4034,8021,27,Yes,No,goat,223,monkey,229,rooster,236
7287,8953,1375,4565,5441,4048,33,Yes,No,horse,231,snake,237,goat,242
2586,2160,4653,8804,34,4299,15,Yes,Yes,horse,171,pig,183,rooster,188
5536,8096,618,2693,288,9853,15,Yes,Yes,goat,189,monkey,201,horse,205
5015,2463,4698,2949,872,3963,18,Yes,Yes,rat,152,dog,158,snake,164
1014,8693,696,6935,4176,2305,11,Yes,Yes,horse,147,goat,153,rooster,159
3115,3448,6273,8458,3458,8621,32,Yes,Yes,dog,261,rat,265,horse,270
3307,2797,4247,9460,271,3521,40,Yes,No,rabbit,129,ox,138,pig,138
1072,6984,662,9365,3307,9000,27,Yes,No,goat,193,horse,201,rooster,206
7178,9147,5503,9664,1039,1553,25,Yes,No,rat,238,horse,246,dragon,270
5956,2370,3735,9995,6448,3126,36,Yes,Yes,ox,168,pig,182,rabbit,189
9135,8748,5638,3739,172,5780,21,Yes,Yes,rat,243,dragon,263,dog,268
4982,6190,1069,3961,3193,5358,21,Yes,Yes,horse,184,goat,185,snake,189
7952,2779,6087,8690,962,6283,35,Yes,Yes,rabbit,195,ox,209,pig,215
1476,8084,4900,1562,8158,9231,21,Yes,No,goat,231,monkey,234,rooster,258
9682,2351,9752,9748,1521,4233,40,Yes,No,pig,233,rabbit,245,ox,253
5738,8249,5477,4933,6980,9593,11,Yes,Yes,monkey,314,goat,316,horse,332
6202,4312,2627,7764,9523,5445,20,Yes,Yes,snake,265,dog,268,horse,273
9224,733,5956,1306,6214,2654,21,Yes,No,tiger,193,dog,196,snake,201
4903,448,5562,9220,6308,5536,32,Yes,No,dog,238,snake,250,rat,256
2532,8194,891,5776,5021,8906,10,Yes,No,goat,203,horse,223,monkey,228
8667,2068,5223,3755,2814,4208,26,Yes,No,dog,203,rat,205,snake,212
7057,7016,7245,8911,8710,6169,22,Yes,No,snake,348,rat,354,dog,354
7830,4056,6709,326,4157,1209,39,Yes,No,pig,176,tiger,179,rat,184
1269,986,8742,7442,7121,7365,12,Yes,No,pig,265,rooster,267,monkey,269
6012,5952,5105,9238,1761,1900,31,Yes,Yes,rat,215,horse,221,dog,237
6152,8502,2152,5506,5259,1725,38,Yes,No,ox,165,rabbit,200,pig,200
8255,4535,5875,3615,4474,4921,21,Yes,No,rat,247,dog,247,snake,248
1210,7595,7970,4539,420,9521,20,Yes,Yes,dragon,238,goat,240,rat,246
8176,1850,7542,2154,1623,8319,17,Yes,No,dog,231,rat,235,tiger,247
4700,7038,5477,7934,8424,982,29,Yes,Yes,horse,261,snake,262,rat,264
5587,3197,3354,6800,3925,5470,26,Yes,Yes,dog,214,snake,220,horse,221
4784,4817,8498,2859,4984,3493,25,Yes,No,tiger,224,rat,227,dragon,230
1208,47,5889,6624,7133,6764,24,Yes,No,dog,213,snake,217,rooster,220
135,5831,9446,1395,1569,9757,40,Yes,Yes,rabbit,189,pig,207,dragon,208
1149,2055,8153,6303,8584,4003,25,Yes,No,tiger,230,pig,236,snake,238
3540,7029,4171,1437,3852,4533,21,Yes,No,monkey,187,goat,191,dragon,193
5600,7651,1321,9297,7812,2168,25,Yes,No,horse,229,snake,248,goat,256
9116,6710,3538,2687,1759,143,27,Yes,Yes,rat,168,snake,187,tiger,189
2085,6605,145,4895,3169,3752,16,Yes,Yes,horse,136,goat,137,rooster,151
4182,5741,2207,4562,1975,9440,14,Yes,No,goat,206,monkey,215,horse,218
9754,6238,7451,7946,8253,40,30,Yes,No,rat,295,tiger,302,snake,302
8416,7876,6266,1725,5091,1591,36,Yes,Yes,ox,218,pig,227,rat,231
3966,8709,4406,8089,5871,6399,17,Yes,Yes,horse,278,goat,281,snake,291
8745,1971,1791,8524,9425,5343,18,Yes,No,dog,254,snake,261,horse,274
799,9295,1044,7890,3532,4928,27,Yes,Yes,goat,172,horse,174,rooster,183
8030,9888,5153,8194,1777,3421,26,Yes,Yes,rat,263,horse,269,snake,290
3339,693,4464,5824,2217,4047,34,Yes,Yes,dog,156,rat,161,snake,167
4155,508,9911,8168,8096,3976,21,Yes,No,tiger,269,pig,270,dog,273
6131,7491,2263,705,5608,9783,26,Yes,Yes,monkey,231,goat,236,snake,245
6350,5679,3690,8265,741,7916,34,Yes,No,horse,246,rat,250,dog,251
6901,2853,9374,7749,514,7032,38,Yes,No,rabbit,218,pig,226,ox,244
3949,5473,2814,7701,6650,3485,18,Yes,No,horse,218,snake,228,goat,233
2217,6037,9579,1638,8381,1238,15,Yes,No,dragon,216,monkey,232,goat,253
1745,8678,5829,4642,2996,8834,15,Yes,No,goat,238,monkey,249,rooster,256
7830,743,6448,6126,162,5943,23,Yes,Yes,rat,204,dog,206,snake,226
1962,9139,6610,6541,1724,7377,20,Yes,No,goat,251,rat,256,dragon,258
6560,4633,5749,8955,3262,1199,25,Yes,Yes,rat,219,horse,231,dog,237
8657,1614,9552,6540,6867,2459,30,Yes,Yes,rat,271,tiger,273,dog,276
6254,1778,7954,7887,5210,4484,38,Yes,Yes,pig,203,rabbit,219,ox,220
8296,8703,8727,8210,2985,5314,31,Yes,No,rat,313,dragon,338,horse,340
589,981,3040,7944,9792,6875,33,Yes,No,rooster,208,goat,214,dog,218
4810,3612,2018,8988,8009,8015,11,Yes,No,horse,265,goat,270,monkey,279
3783,3335,171,1117,4265,6798,23,Yes,No,monkey,139,goat,141,snake,146
741,9418,2827,2346,6047,1039,18,Yes,Yes,goat,149,horse,161,monkey,163
8018,9660,4406,5259,7635,321,24,Yes,Yes,snake,265,rat,266,horse,267
3870,5433,9732,143,9459,1741,32,Yes,Yes,tiger,208,dragon,231,snake,238
859,2866,661,5788,350,473,31,Yes,Yes,horse,62,rooster,78,rat,79
7826,2613,7092,9805,3601,4066,15,Yes,No,horse,284,pig,298,dragon,306
8142,7855,8758,5358,2695,3352,28,Yes,Yes,rat,264,dragon,281,tiger,290
7717,4064,3437,2136,2955,2504,24,Yes,No,rat,174,dog,177,snake,178
572,6918,4300,2346,5408,8048,23,Yes,No,goat,190,monkey,197,rooster,207
5528,142,9342,5189,7584,9270,22,Yes,No,dog,286,tiger,293,snake,297
9221,5899,5682,2238,2000,5488,29,Yes,Yes,rat,230,dog,241,snake,245
2021,6684,5172,2975,4963,6751,22,Yes,Yes,goat,215,monkey,215,snake,227
4693,4678,44,423,4519,3268,22,Yes,No,snake,129,monkey,130,goat,133
9491,5504,2353,1258,597,1188,30,Yes,No,rat,144,snake,159,dog,159
4447,5336,9638,7607,4402,8551,31,Yes,Yes,rat,313,dog,323,snake,327
4421,5836,5932,5019,4902,9062,13,Yes,Yes,monkey,276,goat,280,horse,293
3882,1505,7936,8512,5451,151,22,Yes,No,pig,200,rat,204,tiger,214
398,5768,9949,1716,1422,5242,12,Yes,No,dragon,169,monkey,199,rooster,210
4131,1075,6502,7581,8622,4454,13,Yes,No,pig,259,monkey,269,horse,271
602,923,4814,958,5451,5928,37,Yes,No,pig,124,rabbit,125,ox,134
1792,9404,1489,4201,3704,3961,23,Yes,No,goat,161,horse,169,rooster,180
2292,8678,5784,948,5528,3746,38,Yes,Yes,ox,193,pig,195,dragon,200
5432,2971,5830,3488,8048,7170,10,Yes,Yes,monkey,259,goat,278,dragon,288
8449,7020,9422,739,4470,1687,32,Yes,Yes,rat,234,tiger,236,dragon,239
8790,9530,1963,2578,3150,2785,13,Yes,Yes,horse,218,monkey,230,dragon,232
9870,746,321,596,2386,2446,34,Yes,No,dog,111,snake,121,rat,127
882,8480,9629,658,7150,9876,11,Yes,No,monkey,268,goat,277,dragon,279
4103,1271,748,3499,8279,9315,39,Yes,Yes,ox,146,rabbit,149,pig,187
9102,3348,9802,3725,5685,8427,39,Yes,Yes,rabbit,279,pig,280,ox,286
1190,7818,7890,8304,4073,6382,17,Yes,Yes,rooster,272,rat,275,goat,275
4703,7004,9919,561,8661,9971,24,Yes,Yes,monkey,308,tiger,312,snake,326
4055,7348,2822,9584,906,4359,20,Yes,Yes,horse,197,rat,214,goat,223
8236,7059,9120,4684,8471,4794,28,Yes,No,tiger,322,rat,329,snake,331
8026,5277,297,2932,6856,271,21,Yes,Yes,snake,167,dog,175,horse,176
6641,5702,5179,7641,7718,3990,23,Yes,No,snake,280,dog,286,rat,288
8498,3848,4322,1740,7516,3501,25,Yes,No,tiger,220,snake,221,dog,225
4122,9015,2072,9703,9472,2682,37,Yes,Yes,ox,187,pig,225,rabbit,232
8647,9826,4439,615,8122,3222,13,Yes,Yes,monkey,268,dragon,282,goat,286
8017,6596,1804,1814,3315,3245,20,Yes,Yes,snake,189,rat,191,dog,194
60,7110,8163,4788,3984,5469,20,Yes,No,dragon,221,rooster,227,goat,230
4853,1939,6534,6720,5094,2945,20,Yes,No,rat,216,dog,219,snake,222
1894,1619,9680,8137,3184,450,13,Yes,No,pig,178,dragon,196,horse,216
7939,2782,4014,5058,5676,8835,29,Yes,No,dog,255,snake,265,monkey,276
3907,4353,2623,9975,6804,5353,37,Yes,No,ox,170,rabbit,187,pig,196
8467,1281,7639,6770,3825,9741,40,Yes,No,rabbit,230,ox,250,pig,254
3004,5842,6686,984,5091,4714,13,Yes,Yes,monkey,203,dragon,204,goat,219
9893,4042,2419,4833,8037,5164,14,Yes,Yes,horse,276,monkey,278,goat,295
5772,3775,9486,501,7790,2755,23,Yes,No,tiger,215,dragon,237,snake,238
4154,8487,3530,8194,7890,7470,19,Yes,No,goat,289,horse,293,snake,303
8711,8019,8188,7484,4903,1825,19,Yes,No,rat,287,tiger,309,snake,309
3381,8410,1632,3852,8483,9920,16,Yes,Yes,goat,240,monkey,252,snake,268
2100,8166,4587,9285,7263,6381,27,Yes,Yes,goat,275,horse,278,rooster,279
4495,5706,9866,8594,2985,7573,20,Yes,No,rat,299,dragon,316,dog,319
2120,6335,9136,1229,9643,7387,12,Yes,Yes,monkey,268,dragon,284,goat,286
2635,5203,7539,4078,9225,9433,38,Yes,No,rabbit,249,ox,252,pig,253
